dommycol;English;English;
;Back to Reading List;Вернуться к списку чтения;
; << Back to Results; << Вернуться к результатам ;
;"&nbsp;&nbsp;&nbsp;&nbsp;";??;
;Uh oh!  It looks like the article may no longer be available through your library.  Please let your library and teacher know about this error message:;Ой! Кажется, данная статья больше не доступна в Вашей библиотеке. Пожалуйста, сообщите Вашему преподавателю либо сотруднику библиотеки о данной неполадке. ;
;This record from ;Данная запись от ;
; cannot be displayed to guests.;недоступна гостям.;
;Login</a> for full access.;Войдите в систему</a> чтобы получить доступ ;
;Add to Reading List;Добавить в список чтения;
;Remove from Reading List;Удалить из списка чтения;
;PDF full text;Полнотекстовая версия PDF;
;HTML full text;полнотекстовая версия HTML;
;HTML Full Text;Полнотекстовая версия HTML;
;Full Text:;полный текст:;
;PubType:;Формат:;
;Database:;База данных:;
;Statistics;Статистика;
;Curriculum Builder Settings;Настройки Curriculum Builder ;
;EBSCO User ID;Аккаунт EBSCO;
;EBSCO Password;Пароль EBSCO ;
;Your EDS API Profile;Ваш профиль EDS API;
;URL for your library logo;Ссылка на лого Вашей библиотеки;
;Contact Email;Контактный адрес электронной почты;
;Link to Library Home Page;Ссылка на домашнюю страницу Вашей библиотеки;
;Text to display at top of screen;Текст, отображенный в верхней части экрана;
;Link to EDS Label;Ссылка на лого EDS ;
;Custom CSS File;Пользовательский CSS файл;
;Collect student names as they access assigned readings?;Список студентов, прочитавших работы из обязательного перечня;
;Yes;Да;
;No;Нет;
;Footer text;Нижний колонтитул ;
;Copy Course Support;Возможность повторения курса;
;Remove Full Text and Available in Library Collection Limiters from view;Исключить функцию поиска ТОЛЬКО полных текстов и работ доступных в коллекции из настроек фильтра;
;Show 'Return to Course' Link at top of page;"Отображать ""вернуться к курсу"" в верхней части страницы";
;Open all Lists in a New Window;Открыть списки в новом окне;
;View Lists;Посмотреть список;
;Select one: ;Выберите действие:;
;Preview Selected List;Просмотреть выбранный список;
;Delete Lists;Удалить списки;
;Delete Selected Lists;Удалить выбранные списки;
;Basic Search;Обычный поиск;
;Keyword;Ключевое слово;
;Author;Автор;
;Title;Название;
;View this list;Посмотреть список;
;Untitled List;Список без названия;
;All Public Lists:;Все общедоступные списки;
;There are no public reading lists to copy.;Нет общедоступных списков ;
;Options;Варианты;
;Include Notes in the Import Process;Включить заметки в импорт;
;Preserve Sort Order;Сохранить параметры сортировки;
;Check/Uncheck All;Выбрать/Отменить все;
;Notes:;Заметки:;
;There are no readings in this list.;Нет доступных списков чтения.;
;Copy Selected Readings;Скопировать выбранные названия;
;You are unauthorized to access this page.;К сожалению, у Вас нет доступа к данной странице.;
;You must be logged in to access that service, please login;Чтобы получить доступ к данной услуге, пожалуйста, войдите в систему;
;Warning: you are about to delete the following lists permanently.  This action cannot be undone.  Any instructor that tries to access these lists from their course will find an empty list.;Внимание: Данные списки будут удалены без возможности восстановления. Вместо удаленных списков будут отображаться пустые страницы.; 
;NEVER accessed since update;НЕ ИСПОЛЬЗОВАН с момента обновления;
;LAST ACCESSED;ПОСЛЕДНИЙ РАЗ ИСПОЛЬЗОВАН;
;DELETE;УДАЛИТЬ;
;this list;данный список;
;these ;данные;
;lists;списки;
